run_timestamp,source,scan_timestamp,ticker,strategy,entry,target,stop,risk,sentiment,outcome,exit_price,pnl_pct,notes
2026-05-24 07:12:42,HISTORICAL,2026-05-15 15:30,SNDK,Volatility Compression Breakout,1415.0,1485.75,1379.62,Medium-High,,,,,"Volatility compressed, then price broke out with volume."
2026-05-24 07:12:42,HISTORICAL,2026-05-15 15:30,FLNC,Volatility Compression Breakout,21.04,22.09,20.51,Medium-High,,,,,"Volatility compressed, then price broke out with volume."
2026-05-24 07:12:42,HISTORICAL,2026-05-15 15:30,MSTR,Oversold Bounce,178.81,185.96,173.45,High,,,,,Recently oversold stock is reclaiming EMA20 with improving momentum.
2026-05-24 07:12:42,HISTORICAL,2026-05-15 15:30,ASTS,Early Trend Continuation,84.44,88.66,82.33,,,,,,"Trend aligned, RSI healthy, volume confirmed, and momentum trigger active."
2026-05-24 07:31:03,LIVE,2026-05-24 07:31:03,NET,Volatility Compression Breakout,216.32,227.14,210.91,Medium-High,,,,,"Volatility compressed, then price broke out with volume."
2026-05-24 07:31:03,LIVE,2026-05-24 07:31:03,OKTA,Volatility Compression Breakout,92.28,96.89,89.97,Medium-High,,,,,"Volatility compressed, then price broke out with volume."
2026-05-24 07:31:03,LIVE,2026-05-24 07:31:03,MDB,Volatility Compression Breakout,326.32,342.64,318.16,Medium-High,,,,,"Volatility compressed, then price broke out with volume."
2026-05-24 07:31:03,LIVE,2026-05-24 07:31:03,IONQ,Early Trend Continuation,63.6,66.78,62.01,UNK,,,,,"Trend aligned, RSI healthy, volume confirmed, and momentum trigger active."
2026-05-24 07:31:03,LIVE,2026-05-24 07:31:03,QBTS,Early Trend Continuation,29.38,30.85,28.65,UNK,,,,,"Trend aligned, RSI healthy, volume confirmed, and momentum trigger active."
2026-05-24 07:31:03,LIVE,2026-05-24 07:31:03,AFRM,Oversold Bounce,65.24,67.85,63.28,High,,,,,Recently oversold stock is reclaiming EMA20 with improving momentum.
2026-05-24 07:31:03,LIVE,2026-05-24 07:31:03,DKNG,Oversold Bounce,25.14,26.14,24.38,High,,,,,Recently oversold stock is reclaiming EMA20 with improving momentum.
2026-05-24 07:31:03,LIVE,2026-05-24 07:31:03,CVE,Failed Breakdown Reversal,30.05,31.55,29.15,High,,,,,"Stock broke support, reclaimed it quickly, and momentum improved."
2026-05-24 07:31:03,LIVE,2026-05-24 07:31:03,SE,Volatility Compression Breakout,87.24,91.6,85.06,Medium-High,,,,,"Volatility compressed, then price broke out with volume."
2026-05-24 14:06:25,HISTORICAL,2026-05-01 09:00,AMD,Volatility Compression Breakout,354.35,372.07,345.49,Medium-High,,,,,"Volatility compressed, then price broke out with volume."
2026-05-24 14:06:25,HISTORICAL,2026-05-01 09:00,AVGO,Volatility Compression Breakout,417.44,438.31,407.0,Medium-High,,,,,"Volatility compressed, then price broke out with volume."
2026-05-24 14:06:25,HISTORICAL,2026-05-01 09:00,MU,Volatility Compression Breakout,517.19,543.05,504.26,Medium-High,,,,,"Volatility compressed, then price broke out with volume."
